national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description,image_path
467,IV,magmortar,Booburn,fire,,Blast Pokémon,75.49,24.51,1.6,68.0,30,6400,75,95,67,125,95,83,Flame Body,,,Vital Spirit,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Magby,Level ,Magmar,Trade with  Magmarizer,Magmortar,,,,,,"When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit.",pokemon_images/Magmortar.jpg
468,IV,togekiss,Togekiss,fairy,flying,Jubilee Pokémon,88.14,11.86,1.5,38.0,30,2560,85,50,95,120,115,80,Hustle,Serene Grace,,Super Luck,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0,0,0,0,Togepi,Level Up with Happiness Value at 220,Togetic,Use Shiny Stone,Togekiss,,,,,,"These Pokémon are never seen anywhere near conflict or turmoil. In recent times, they’ve hardly been seen at all.",pokemon_images/Togekiss.jpg
469,IV,yanmega,Megayanma,bug,flying,Ogre Darner Pokémon,50,50,1.9,51.5,30,5120,86,76,86,116,56,95,Speed Boost,Tinted Lens,,Frisk,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Yanma,Level up while knowing  Ancient Power,Yanmega,,,,,,,,It prefers to battle by biting apart foes’ heads instantly while flying by at high speed.,pokemon_images/Yanmega.jpg
470,IV,leafeon,Leafia,grass,,Verdant Pokémon,88.14,11.86,1.0,25.5,45,8960,65,110,130,60,65,95,Leaf Guard,,,Chlorophyll,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Eevee,,,,,,,,,,Galarians favor the distinctive aroma that drifts from this Pokémon’s leaves. There’s a popular perfume made using that scent.,pokemon_images/Leafeon.jpg
471,IV,glaceon,Glacia,ice,,Fresh Snow Pokémon,88.14,11.86,0.8,25.9,45,8960,65,60,110,130,95,65,Snow Cloak,,,Ice Body,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0,0,0,Eevee,,,,,,,,,,Any who become captivated by the beauty of the snowfall that Glaceon creates will be frozen before they know it.,pokemon_images/Glaceon.jpg
472,IV,gliscor,Glion,ground,flying,Fang Scorp Pokémon,50,50,2.0,42.5,30,5120,75,95,125,45,75,95,Hyper Cutter,Sand Veil,,Poison Heal,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Gligar,Level up during the night while holding  Razor Fang,Gliscor,,,,,,,,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!",pokemon_images/Gliscor.jpg
473,IV,mamoswine,Mammoo,ice,ground,Twin Tusk Pokémon,50.2,49.8,2.5,291.0,50,5120,110,130,80,70,60,80,Oblivious,Snow Cloak,,Thick Fat,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,0,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,,,,,,,"This Pokémon can be spotted in wall paintings from as far back as 10,000 years ago. For a while, it was thought to have gone extinct.",pokemon_images/Mamoswine.jpg
474,IV,porygon-z,Porygon-z,normal,,Virtual Pokémon,,,0.9,34.0,30,5120,85,80,70,135,75,90,Adaptability,Download,,Analytic,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Porygon,Trade with  Upgrade,Porygon2,Trade with  Dubious Disc,Porygon-Z,,,,,,"Porygon-Z had a program installed to allow it to move between dimensions, but the program also caused instability in Porygon-Z’s behavior.",pokemon_images/Porygon-Z.jpg
475,IV,gallade,Erureido,psychic,fighting,Blade Pokémon,100,0,1.6,52.0,45,5120,68,125,65,65,115,80,Steadfast,,,Justified,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,0,0,0,Ralts,Level,Kirlia,"On Male Pokémon, use Dawn Stone",Gallade,,,,Mega Gallade,,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone.",pokemon_images/Gallade.jpg
476,IV,probopass,Dainose,rock,steel,Compass Pokémon,50,50,1.4,340.0,60,5120,60,55,145,75,150,40,Sturdy,Magnet Pull,,Sand Force,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0,0,0,Nosepass,Level up while at Blush Mountain/Vast Poni Canyon,Probopass,,,,,,,,"Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back.",pokemon_images/Probopass.jpg
477,IV,dusknoir,Yonoir,ghost,,Gripper Pokémon,50.2,49.8,2.2,106.6,45,6400,45,100,135,65,135,45,Pressure,,,Frisk,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,Duskull,Level ,Dusclops,Trade with  Reaper Cloth,Dusknoir,,,,,,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own.",pokemon_images/Dusknoir.jpg
478,IV,froslass,Yukimenoko,ice,ghost,Snow Land Pokémon,0,100,1.3,26.6,75,5120,70,80,70,80,70,110,Snow Cloak,,,Cursed Body,0.0,2.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0,0,0,0,Snorunt,Level,Glalie,"On Female Pokémon, use Dawn Stone",Froslass,,,,,,"After a woman met her end on a snowy mountain, her regrets lingered on. From them, this Pokémon was born. Its favorite food is frozen souls.",pokemon_images/Froslass.jpg
479,IV,rotom,Rotom,electric,ghost,Plasma Pokémon,,,0.3,0.3,45,5120,50,50,77,95,77,91,Levitate,,,,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,0.5,1.0,0,0,0,Rotom,,,,,,,,,,One boy’s invention led to the development of many different machines that take advantage of Rotom’s unique capabilities.,pokemon_images/Rotom.jpg
480,IV,uxie,Yuxie,psychic,,Knowledge Pokémon,,,0.3,0.3,3,20480,75,75,130,75,130,95,Levitate,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,0,0,Uxie,,,,,,,,,,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.,pokemon_images/Uxie.jpg
481,IV,mesprit,Emrit,psychic,,Emotion Pokémon,,,0.3,0.3,3,20480,80,105,105,105,105,80,Levitate,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,0,0,Mesprit,,,,,,,,,,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy.",pokemon_images/Mesprit.jpg
482,IV,azelf,Agnome,psychic,,Willpower Pokémon,,,0.3,0.3,3,20480,75,125,70,125,70,115,Levitate,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,0,0,Azelf,,,,,,,,,,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.,pokemon_images/Azelf.jpg
483,IV,dialga,Dialga,steel,dragon,Temporal Pokémon,,,5.4,683.0,3,30720,100,120,120,150,100,90,Pressure,,,Telepathy,0.5,1.0,0.5,0.5,0.25,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0,1,0,Dialga,,,,,,,,,,A Pokémon spoken of in legend. It is said that time began moving when Dialga was born.,pokemon_images/Dialga.jpg
484,IV,palkia,Palkia,water,dragon,Spatial Pokémon,,,4.2,336.0,3,30720,90,120,100,150,120,100,Pressure,,,Telepathy,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,0,1,0,Palkia,,,,,,,,,,It is said to live in a gap in the spatial dimension parallel to ours. It appears in mythology.,pokemon_images/Palkia.jpg
485,IV,heatran,Heatran,fire,steel,Lava Dome Pokémon,50.2,49.8,1.7,430.0,3,2560,91,90,106,130,106,77,Flash Fire,,,Flame Body,0.5,1.0,2.0,1.0,0.25,0.25,2.0,0.0,4.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.25,0.25,1,0,0,Heatran,,,,,,,,,,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.,pokemon_images/Heatran.jpg
486,IV,regigigas,Regigigas,normal,,Colossal Pokémon,,,3.7,420.0,3,30720,110,160,110,80,110,100,Slow Start,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,Regigigas,,,,,,,,,,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma.",pokemon_images/Regigigas.jpg
487,IV,giratina,Giratina,ghost,dragon,Renegade Pokémon,,,4.5,750.0,3,30720,150,100,120,100,120,90,Pressure,Levitate (Origin Forme),,Telepathy,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0,0,1,0,Giratina,,,,,,,,,,"This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange.",pokemon_images/Giratina.jpg
488,IV,cresselia,Cresselia,psychic,,Lunar Pokémon,0,100,1.5,85.6,3,30720,120,70,120,75,130,85,Levitate,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,0,0,Cresselia,,,,,,,,,,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,pokemon_images/Cresselia.jpg
489,IV,phione,Phione,water,,Sea Drifter Pokémon,,,0.4,3.1,30,10240,80,80,80,80,80,80,Hydration,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,1,Phione,Breed with Ditto,Manaphy,,,,,,,,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs.",pokemon_images/Phione.jpg
490,IV,manaphy,Manaphy,water,,Seafaring Pokémon,,,0.3,1.4,3,2560,100,100,100,100,100,100,Hydration,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,1,Phione,Breed with Ditto,Manaphy,,,,,,,,It is born with a wondrous power that lets it bond with any kind of Pokémon.,pokemon_images/Manaphy.jpg
491,IV,darkrai,Darkrai,dark,,Pitch-Black Pokémon,,,1.5,50.5,3,30720,70,90,90,135,90,125,Bad Dreams,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0,0,1,Darkrai,,,,,,,,,,"It chases people and Pokémon from its territory by causing them to experience deep, nightmarish slumbers.",pokemon_images/Darkrai.jpg
492,IV,shaymin,Shaymin,grass,grass,Gratitude Pokémon,,,0.2,2.1,45,30720,100,100,100,100,100,100,Natural Cure (Land Forme),Serene Grace (Sky Forme),,,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,Shaymin,,,,,,,,,,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.,pokemon_images/Shaymin.jpg
493,IV,arceus,Arceus,normal,,Alpha Pokémon,,,3.2,320.0,3,30720,120,120,120,120,120,120,Multitype,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,1,Arceus,,,,,,,,,,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world.",pokemon_images/Arceus.jpg
494,V,victini,Victini,psychic,fire,Victory Pokémon,,,0.4,4.0,3,30720,100,100,100,100,100,100,Victory Star,,,,1.0,0.5,2.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,0.5,0,0,1,Victini,,,,,,,,,,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter.",pokemon_images/Victini.jpg
495,V,snivy,Tsutarja,grass,,Grass Snake Pokémon,88.1,11.9,0.6,8.1,45,5120,45,45,55,45,55,63,Overgrow,,,Contrary,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Snivy,Level ,Servine,Level ,Serperior,,,,,,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,pokemon_images/Snivy.jpg
496,V,servine,Janovy,grass,,Grass Snake Pokémon,88.1,11.9,0.8,16.0,45,5120,60,60,75,60,75,83,Overgrow,,,Contrary,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Snivy,Level ,Servine,Level ,Serperior,,,,,,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",pokemon_images/Servine.jpg
497,V,serperior,Jalorda,grass,,Regal Pokémon,88.1,11.9,3.3,63.0,45,5120,75,75,95,75,95,113,Overgrow,,,Contrary,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Snivy,Level ,Servine,Level ,Serperior,,,,,,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.,pokemon_images/Serperior.jpg
498,V,tepig,Pokabu,fire,,Fire Pig Pokémon,88.1,11.9,0.5,9.9,45,5120,65,63,45,45,45,45,Blaze,,,Thick Fat,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Tepig,Level ,Pignite,Level ,Emboar,,,,,,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.,pokemon_images/Tepig.jpg
499,V,pignite,Chaoboo,fire,fighting,Fire Pig Pokémon,88.1,11.9,1.0,55.5,45,5120,90,93,55,70,55,55,Blaze,,,Thick Fat,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,0,0,0,Tepig,Level ,Pignite,Level ,Emboar,,,,,,"The more it eats, the more fuel it has to make the fire in its stomach stronger. This fills it with even more power.",pokemon_images/Pignite.jpg
500,V,emboar,Enbuoh,fire,fighting,Mega Fire Pig Pokémon,88.1,11.9,1.6,150.0,45,5120,110,123,65,100,65,65,Blaze,,,Reckless,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,0,0,0,Tepig,Level ,Pignite,Level ,Emboar,,,,,,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.,pokemon_images/Emboar.jpg
501,V,oshawott,Mijumaru,water,,Sea Otter Pokémon,88.1,11.9,0.5,5.9,45,5120,55,55,45,63,45,45,Torrent,,,Shell Armor,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Oshawott,Level ,Dewott,Level ,Samurott,,,,,,The scalchop on its stomach isn’t just used for battle—it can be used to break open hard berries as well.,pokemon_images/Oshawott.jpg
502,V,dewott,Futachimaru,water,,Discipline Pokémon,88.1,11.9,0.8,24.5,45,5120,75,75,60,83,60,60,Torrent,,,Shell Armor,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Oshawott,Level ,Dewott,Level ,Samurott,,,,,,Strict training is how it learns its flowing double-scalchop technique.,pokemon_images/Dewott.jpg
503,V,samurott,Daikenki,water,,Formidable Pokémon,88.1,11.9,1.5,94.6,45,5120,95,100,85,108,70,70,Torrent,,,Shell Armor,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Oshawott,Level ,Dewott,Level ,Samurott,,,,,,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs.",pokemon_images/Samurott.jpg
504,V,patrat,Minezumi,normal,,Scout Pokémon,50,50,0.5,11.6,255,3840,45,55,39,35,39,42,Run Away,Keen Eye,,Analytic,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Patrat,Level ,Watchog,,,,,,,,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others.",pokemon_images/Patrat.jpg
505,V,watchog,Miruhog,normal,,Lookout Pokémon,50,50,1.1,27.0,255,5120,60,85,69,60,69,77,Illuminate,Keen Eye,,Analytic,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Patrat,Level ,Watchog,,,,,,,,"Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents.",pokemon_images/Watchog.jpg
506,V,lillipup,Yorterrie,normal,,Puppy Pokémon,50.2,49.8,0.4,4.1,255,3840,45,60,45,25,45,55,Vital Spirit,Pickup,,Run Away,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Lillipup,Level ,Herdier,Level ,Stoutland,,,,,,This Pokémon is courageous but also cautious. It uses the soft fur covering its face to collect information about its surroundings.,pokemon_images/Lillipup.jpg
507,V,herdier,Herderrie,normal,,Loyal Dog Pokémon,50.2,49.8,0.9,14.7,120,3840,65,80,65,35,65,60,Intimidate,Sand Rush,,Scrappy,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Lillipup,Level ,Herdier,Level ,Stoutland,,,,,,Herdier is a very smart and friendly Pokémon. So much so that there’s a theory that Herdier was the first Pokémon to partner with people.,pokemon_images/Herdier.jpg
508,V,stoutland,Mooland,normal,,Big-Hearted Pokémon,50.2,49.8,1.2,61.0,45,3840,85,110,90,45,90,80,Intimidate,Sand Rush,,Scrappy,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Lillipup,Level ,Herdier,Level ,Stoutland,,,,,,These Pokémon seem to enjoy living with humans. Even a Stoutland caught in the wild will warm up to people in about three days.,pokemon_images/Stoutland.jpg
509,V,purrloin,Choroneko,dark,,Devious Pokémon,50.2,49.8,0.4,10.1,255,5120,41,50,37,50,37,66,Limber,Unburden,,Prankster,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0,0,0,Purrloin,Level ,Liepard,,,,,,,,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.,pokemon_images/Purrloin.jpg
510,V,liepard,Lepardas,dark,,Cruel Pokémon,50.2,49.8,1.1,37.5,90,5120,64,88,50,88,50,106,Limber,Unburden,,Prankster,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0,0,0,Purrloin,Level ,Liepard,,,,,,,,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.,pokemon_images/Liepard.jpg
511,V,pansage,Yanappu,grass,,Grass Monkey Pokémon,88.1,11.9,0.6,10.5,190,5120,50,53,48,53,48,64,Gluttony,,,Overgrow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Pansage,Use Leaf Stone,Simisage,,,,,,,,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.,pokemon_images/Pansage.jpg
512,V,simisage,Yanakkie,grass,,Thorn Monkey Pokémon,88.1,11.9,1.1,30.5,75,5120,75,98,63,98,63,101,Gluttony,,,Overgrow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Pansage,Use Leaf Stone,Simisage,,,,,,,,It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.,pokemon_images/Simisage.jpg
513,V,pansear,Baoppu,fire,,High Temp Pokémon,88.1,11.9,0.6,11.0,190,5120,50,53,48,53,48,64,Gluttony,,,Blaze,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Pansear,Use Fire Stone,Simisear,,,,,,,,"Very intelligent, it roasts berries before eating them. It likes to help people.",pokemon_images/Pansear.jpg
514,V,simisear,Baokkie,fire,,Ember Pokémon,88.1,11.9,1.0,28.0,75,5120,75,98,63,98,63,101,Gluttony,,,Blaze,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Pansear,Use Fire Stone,Simisear,,,,,,,,A flame burns inside its body. It scatters embers from its head and tail to sear its opponents.,pokemon_images/Simisear.jpg
515,V,panpour,Hiyappu,water,,Spray Pokémon,88.1,11.9,0.6,13.5,190,5120,50,53,48,53,48,64,Gluttony,,,Torrent,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Panpour,Use Water Stone,Simipour,,,,,,,,The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.,pokemon_images/Panpour.jpg
516,V,simipour,Hiyakkie,water,,Geyser Pokémon,88.1,11.9,1.0,29.0,75,5120,75,98,63,98,63,101,Gluttony,,,Torrent,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Panpour,Use Water Stone,Simipour,,,,,,,,"The high-pressure water expelled from its tail is so powerful, it can destroy a concrete wall.",pokemon_images/Simipour.jpg
517,V,munna,Munna,psychic,,Dream Eater Pokémon,50.2,49.8,0.6,23.3,190,2560,76,25,45,67,55,24,Forewarn,Synchronize,,Telepathy,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,Munna,Use Moon Stone,Musharna,,,,,,,,"Late at night, it appears beside people’s pillows. As it feeds on dreams, the patterns on its body give off a faint glow.",pokemon_images/Munna.jpg
518,V,musharna,Musharna,psychic,,Drowsing Pokémon,50.2,49.8,1.1,60.5,75,2560,116,55,85,107,95,29,Forewarn,Synchronize,,Telepathy,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,Munna,Use Moon Stone,Musharna,,,,,,,,"When dark mists emanate from its body, don’t get too near. If you do, your nightmares will become reality.",pokemon_images/Musharna.jpg
519,V,pidove,Mamepato,normal,flying,Tiny Pigeon Pokémon,50.2,49.8,0.3,2.1,255,3840,50,55,50,36,30,43,Big Pecks,Super Luck,,Rivalry,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Pidove,Level ,Tranquill,Level ,Unfezant,,,,,,"Where people go, these Pokémon follow. If you’re scattering food for them, be careful—several hundred of them can gather at once.",pokemon_images/Pidove.jpg
520,V,tranquill,Hatoboh,normal,flying,Wild Pigeon Pokémon,50.2,49.8,0.6,15.0,120,3840,62,77,62,50,42,65,Big Pecks,Super Luck,,Rivalry,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Pidove,Level ,Tranquill,Level ,Unfezant,,,,,,"It can fly moderately quickly. No matter how far it travels, it can always find its way back to its master and its nest.",pokemon_images/Tranquill.jpg
521,V,unfezant,Kenhallow,normal,flying,Proud Pokémon,50.2,49.8,1.2,29.0,45,3840,80,115,80,65,55,93,Big Pecks,Super Luck,,Rivalry,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Pidove,Level ,Tranquill,Level ,Unfezant,,,,,,"Unfezant are exceptional fliers. The females are known for their stamina, while the males outclass them in terms of speed.",pokemon_images/Unfezant.jpg
522,V,blitzle,Shimama,electric,,Electrified Pokémon,50,50,0.8,29.8,190,5120,45,60,32,50,32,76,Lightning Rod,Motor Drive,,Sap Sipper,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Blitzle,Level ,Zebstrika,,,,,,,,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity.",pokemon_images/Blitzle.jpg
523,V,zebstrika,Zebraika,electric,,Thunderbolt Pokémon,50,50,1.6,79.5,75,5120,75,100,63,80,63,116,Lightning Rod,Motor Drive,,Sap Sipper,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Blitzle,Level ,Zebstrika,,,,,,,,"When this ill-tempered Pokémon runs wild, it shoots lightning from its mane in all directions.",pokemon_images/Zebstrika.jpg
524,V,roggenrola,Dangoro,rock,,Mantle Pokémon,50.2,49.8,0.4,18.0,255,3840,55,75,85,25,25,15,Sturdy,Weak Armor,,Sand Force,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,0,Roggenrola,Level ,Boldore,Trade,Gigalith,,,,,,"It’s as hard as steel, but apparently a long soak in water will cause it to soften a bit.",pokemon_images/Roggenrola.jpg
